iter	RMSE
205	16.94931029
206	16.94655411
207	16.94325816
208	16.93942005
209	16.93642854
210	16.93148394
211	16.92770722
212	16.92367256
213	16.92065701
214	16.91639752
215	16.91214355
216	16.90601714
217	16.90095477
218	16.89632885
219	16.89254143
220	16.88763595
221	16.88531304
222	16.88167069
223	16.87916534
224	16.87532447
225	16.87096712
226	16.86738685
227	16.86344175
228	16.85957844
229	16.85534489
230	16.85108315
231	16.8484112
232	16.84514708
233	16.84124927
234	16.83498537
235	16.83180413
236	16.82930392
237	16.8259636
238	16.82278918
239	16.81860637
240	16.81454216
241	16.80875704
242	16.80471238
243	16.80115624
244	16.79514522
245	16.79210968
246	16.78908452
247	16.78525022
248	16.780241
249	16.7775799
250	16.77516287
251	16.77082706
252	16.76657397
253	16.76228771
254	16.75897089
255	16.75606606
256	16.75275766
257	16.74853546
258	16.74392001
259	16.74057171
260	16.73726744
261	16.73402483
262	16.72916406
263	16.72671179
264	16.72165587
265	16.71788481
266	16.71449684
267	16.71118996
268	16.70742403
269	16.7028757
270	16.69899982
271	16.69484475
272	16.69049262
273	16.68724296
274	16.68414281
275	16.67966132
276	16.67515057
277	16.67124537
278	16.66607424
279	16.66256252
280	16.65915283
281	16.65590639
282	16.65226665
283	16.65000895
284	16.6466338
285	16.64328892
286	16.64043327
287	16.63717911
288	16.63267294
289	16.62880685
290	16.62407946
291	16.62043557
292	16.61836845
293	16.61575828
294	16.61252584
295	16.60966121
296	16.60583529
297	16.60154305
298	16.59918338
299	16.59440745
300	16.59094037
301	16.58845746
302	16.58444386
303	16.57993309
304	16.57524924
305	16.57224758
306	16.56919668
307	16.56438565
308	16.55968907
309	16.55591658
310	16.55310728
311	16.54976246
312	16.54718915
313	16.54350156
314	16.53901673
315	16.53661607
316	16.53243244
317	16.52830148
318	16.52625048
319	16.52360835
320	16.52115434
321	16.51787492
322	16.51471182
323	16.51208547
324	16.50789885
325	16.50369565
326	16.50001565
327	16.49737836
328	16.49381948
329	16.49129635
330	16.4862539
331	16.48391703
332	16.47978573
333	16.4758191
334	16.47329174
335	16.46952233
336	16.46494593
337	16.45986137
338	16.45744075
339	16.45358796
340	16.44954014
341	16.44790863
342	16.44367236
343	16.4400954
344	16.43749854
345	16.43259621
346	16.43006304
347	16.42745341
348	16.42533247
349	16.42076359
350	16.41663748
351	16.41367768
352	16.41121659
353	16.40950754
354	16.40587138
355	16.40274908
356	16.39941483
357	16.39767236
358	16.39429637
359	16.3908532
360	16.38767524
361	16.38257018
362	16.37713619
363	16.37425948
364	16.37121983
365	16.36888157
366	16.36411181
367	16.36106251
368	16.3583827
369	16.35516635
370	16.35222593
371	16.34944161
372	16.34535334
373	16.34235855
374	16.33879911
375	16.33561922
376	16.33268938
377	16.32872627
378	16.32485296
379	16.32256529
380	16.31962539
381	16.31746447
382	16.31309303
383	16.30929588
384	16.30579875
385	16.30220477
386	16.29967839
387	16.29607603
388	16.29302382
389	16.28750262
390	16.28391427
391	16.28057775
392	16.27736442
393	16.27466037
394	16.27058677
395	16.26789101
396	16.26509603
397	16.26130909
398	16.25733549
399	16.25491137
400	16.24985403
401	16.24749402
402	16.24435203
403	16.24081415
404	16.23643311
405	16.23191866
406	16.2293962
407	16.22733138
408	16.22406994
409	16.22142302
410	16.21931119
411	16.21640005
412	16.21354484
413	16.20950781
414	16.20643216
415	16.2045126
416	16.20201204
417	16.19730194
418	16.19361939
419	16.19082139
420	16.1869443
421	16.18393923
422	16.18159336
423	16.17798132
424	16.17455587
425	16.17225555
426	16.1701457
427	16.1661522
428	16.16213635
429	16.1585389
430	16.15594844
431	16.15210771
432	16.14938177
433	16.14691977
434	16.14144104
435	16.13900625
436	16.1352162
437	16.13113689
438	16.12792852
439	16.12599939
440	16.1243683
441	16.12128405
442	16.11723866
443	16.11436479
444	16.11237475
445	16.10916335
446	16.10701874
447	16.10305373
448	16.10093633
449	16.09869036
450	16.09561252
451	16.09180227
452	16.08856034
453	16.08683543
454	16.08335529
455	16.0808629
456	16.0773261
457	16.07478553
458	16.07134477
459	16.06740721
460	16.0639598
461	16.06094779
462	16.05690677
463	16.05543365
464	16.05323728
465	16.05034689
466	16.04624441
467	16.04283082
468	16.03908687
469	16.03519164
470	16.03276253
471	16.02990584
472	16.02638593
473	16.02153095
474	16.01715603
475	16.01411724
476	16.01043533
477	16.0083158
478	16.00409796
479	16.00110502
480	15.99705732
481	15.99384707
482	15.99024378
483	15.98812589
484	15.98505415
485	15.98008981
486	15.9761707
487	15.97277076
488	15.96885374
489	15.96604879
490	15.96448553
491	15.9618186
492	15.95890191
493	15.9564671
494	15.95435456
495	15.95105312
496	15.94680473
497	15.94286373
498	15.93839509
499	15.93514856
