iter	RMSE
0	18.06112818
1	18.01584431
2	17.98236475
3	17.95117075
4	17.92175912
5	17.89909098
6	17.88009808
7	17.86314614
8	17.84816073
9	17.83457701
10	17.82248218
11	17.81048556
12	17.80122571
13	17.79077336
14	17.78121122
15	17.77356624
16	17.76747841
17	17.75973492
18	17.75420473
19	17.74680367
20	17.74222336
21	17.73646166
22	17.7301251
23	17.72565969
24	17.72000702
25	17.71446972
26	17.7091658
27	17.70505291
28	17.70113261
29	17.69600515
30	17.69321095
31	17.68678549
32	17.68314323
33	17.67915452
34	17.67388256
35	17.67061551
36	17.66622971
37	17.66202617
38	17.65751975
39	17.6535403
40	17.648882
41	17.64414529
42	17.64093379
43	17.63572884
44	17.63219267
45	17.63095288
46	17.62832561
47	17.62396506
48	17.61995954
49	17.61566826
50	17.61251539
51	17.60802357
52	17.60382234
53	17.60184678
54	17.59588454
55	17.59245193
56	17.58866886
57	17.58242093
58	17.57708286
59	17.57385863
60	17.57044707
61	17.56671289
62	17.56266902
63	17.55928753
64	17.5556338
65	17.55122756
66	17.54870409
67	17.54491568
68	17.5415418
69	17.53738779
70	17.53541275
71	17.53237679
72	17.52730416
73	17.52215933
74	17.51864409
75	17.51413056
76	17.51130749
77	17.50728306
78	17.50460327
79	17.50149122
80	17.49733511
81	17.49322827
82	17.48664995
83	17.48291827
84	17.47969924
85	17.47657624
86	17.47417081
87	17.4691447
88	17.46603005
89	17.4598806
90	17.45720621
91	17.45254633
92	17.44935605
93	17.44470277
94	17.43927495
95	17.43582926
96	17.43062607
97	17.42447526
98	17.41979697
99	17.41650656
100	17.41218561
101	17.40773377
102	17.40392745
103	17.40042194
104	17.3955511
105	17.39043879
106	17.38538878
107	17.3800424
108	17.37718925
109	17.37309992
110	17.36919324
111	17.36547502
112	17.3609766
113	17.35651949
114	17.35302036
115	17.34785673
116	17.3419387
117	17.33682112
118	17.33230779
119	17.32869961
120	17.32555296
121	17.32023495
122	17.31679101
123	17.31263325
124	17.30851141
125	17.30359589
126	17.29846094
127	17.29438569
128	17.28988382
129	17.28557569
130	17.28090261
131	17.27404955
132	17.27147534
133	17.26790319
134	17.26513309
135	17.26042007
136	17.25605396
137	17.25199585
138	17.24772297
139	17.24359003
140	17.23848582
141	17.23259612
142	17.22697254
143	17.22240424
144	17.21714047
145	17.21188295
146	17.20671295
147	17.20169072
148	17.1973081
149	17.19250531
150	17.18667489
151	17.18355841
152	17.1789479
153	17.17496217
154	17.17198237
155	17.16751622
156	17.16344745
157	17.15907187
158	17.15440051
159	17.1507274
160	17.14568285
161	17.14150921
162	17.13375299
163	17.12705931
164	17.12349064
165	17.11909254
166	17.11628552
167	17.11253724
168	17.1071474
169	17.10265608
170	17.09909316
171	17.09580595
172	17.09250281
173	17.08896801
174	17.08514817
175	17.0810617
176	17.07573245
177	17.07134823
178	17.06851184
179	17.06385327
180	17.06015956
181	17.05604386
182	17.05268764
183	17.04781398
184	17.04394723
185	17.04095831
186	17.03688675
187	17.03280264
188	17.0282227
189	17.02392336
190	17.01923237
191	17.01385996
192	17.01044766
193	17.0051431
194	16.99961509
195	16.9956369
196	16.98909332
197	16.98378706
198	16.97993422
199	16.97429308
200	16.97086955
201	16.96678401
202	16.9625903
203	16.95907301
204	16.95511053
